2023-11-06/02:00:16		Start of validation on files
2023-11-06/02:00:22		Raw Data File Validation completed!!
2023-11-06/02:00:22		Starting Data Transformation
2023-11-06/02:00:23		Data Transformation Completed !!
2023-11-06/02:00:23		Creating Training_Database and tables on the basis of given schema!!
2023-11-06/02:01:39		Table creation Completed!!
2023-11-06/02:01:39		Insertion of Data into Table started!!!!
2023-11-06/02:01:41		Inserting in table completed !!!
2023-11-06/02:01:41		Deleting Good Data Folder !!!
2023-11-06/02:01:41		Deleted the good data training folder
2023-11-06/02:01:41		Moving Bad Data files to archive folder and deleting the bad data folder
2023-11-06/02:01:41		Moved the bad data to archive !! Deleted the good data training folder!!
2023-11-06/02:01:41		Validation operation completed !!
2023-11-06/02:01:41		Extracting csv files from table
2023-11-06/02:01:44		Export data from database table to csv file completed successfully!!
